field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,3048831,243.32260,54.74845,0.6863,23.284
ELAIS-N1,3049883,244.01807,56.13455,0.5208,20.772
ELAIS-N1,3100842,243.00123,55.14520,0.7939,22.804
ELAIS-N1,2367169,244.12415,54.95277,0.6723,21.573
ELAIS-N1,1623060,239.51233,54.97620,0.3798,21.765
ELAIS-N1,569812,245.31488,55.31329,0.3315,21.332
ELAIS-N1,3053524,241.32785,55.06117,0.6522,23.446
ELAIS-N1,2823647,243.36739,54.36451,0.5784,22.310
ELAIS-N1,748862,242.04586,54.94005,0.6026,22.571
ELAIS-N1,3229206,243.56919,55.40243,0.6171,23.504
ELAIS-N1,288824,242.65339,53.82559,0.8466,22.446
ELAIS-N1,103971,245.29884,55.63472,0.5445,22.880
ELAIS-N1,2291442,239.84270,54.73776,0.1902,24.112
ELAIS-N1,1743453,244.31599,53.79958,0.7423,23.485
ELAIS-N1,2966663,239.50028,55.03466,0.6325,22.417
ELAIS-N1,2339329,242.58076,55.14370,0.9922,23.620
ELAIS-N1,1649822,241.70285,53.66898,1.1344,23.873
ELAIS-N1,741069,239.42863,54.97663,0.4641,24.309
ELAIS-N1,2612915,241.46666,53.78948,0.8044,21.226
ELAIS-N1,2553474,242.48976,54.48677,0.5249,20.464
ELAIS-N1,2933880,243.61925,52.64882,0.8279,21.162
ELAIS-N1,2173530,240.26938,54.78031,0.5207,21.477
ELAIS-N1,3243288,241.89146,53.99259,0.4225,23.779
ELAIS-N1,2741548,243.33326,54.65195,1.4328,22.195
ELAIS-N1,2341866,242.63581,54.24681,0.7464,21.408
ELAIS-N1,3301430,242.53726,54.17311,1.0111,23.839
ELAIS-N1,2820855,242.20331,52.72108,1.0573,23.763
ELAIS-N1,590506,243.97120,54.08494,1.1493,23.152
ELAIS-N1,1485124,243.29814,53.63055,1.2716,23.720
ELAIS-N1,2643630,242.46683,54.59365,1.1440,23.608
ELAIS-N1,2126469,244.03655,56.12219,0.5989,22.332
ELAIS-N1,1461494,243.18171,54.37409,0.7724,23.542
ELAIS-N1,2526459,243.72728,55.31023,0.4320,19.550
ELAIS-N1,1139067,240.91005,53.76582,0.4491,20.780
ELAIS-N1,3086675,243.86737,54.05942,1.3079,22.888
ELAIS-N1,1217096,244.44213,53.31980,0.5566,20.782
ELAIS-N1,2271507,243.88892,54.78544,0.9702,23.144
ELAIS-N1,2689934,244.48540,55.20401,0.7377,23.329
ELAIS-N1,826859,244.65294,55.72705,0.8352,23.790
ELAIS-N1,2444508,242.93421,53.59605,1.2004,24.419
ELAIS-N1,1956857,241.26146,54.28067,0.4860,22.643
ELAIS-N1,409301,241.40367,53.11504,0.4337,23.889
